final_pred,true_label,percent_majority,correct
1,1,61.53846153846154,True
2,7,23.91304347826087,False
8,8,54.054054054054056,True
5,5,72.0,True
4,4,66.66666666666666,True
1,1,58.139534883720934,True
6,6,76.74418604651163,True
4,4,81.81818181818183,True
6,6,74.35897435897436,True
0,0,44.18604651162791,True
8,8,59.45945945945946,True
7,7,32.5,True
2,2,48.78048780487805,True
0,0,30.76923076923077,True
0,0,63.1578947368421,True
6,6,90.19607843137256,True
3,3,41.66666666666667,True
4,4,58.97435897435898,True
8,8,80.0,True
7,7,38.095238095238095,True
4,4,79.41176470588235,True
6,7,30.952380952380953,False
9,9,40.0,True
3,3,58.333333333333336,True
1,1,51.28205128205128,True
9,1,41.46341463414634,False
2,2,66.66666666666666,True
8,8,61.76470588235294,True
8,8,85.0,True
1,1,71.7948717948718,True
7,3,32.075471698113205,False
5,9,44.89795918367347,False
1,9,33.33333333333333,False
3,3,31.818181818181817,True
4,4,68.75,True
5,5,95.23809523809523,True
5,7,35.294117647058826,False
9,9,65.21739130434783,True
3,3,30.23255813953488,True
8,8,84.21052631578947,True
6,6,82.25806451612904,True
6,6,98.21428571428571,True
5,5,60.46511627906976,True
6,6,64.81481481481481,True
9,9,84.21052631578947,True
5,5,75.0,True
8,8,51.21951219512195,True
6,6,83.33333333333334,True
4,4,84.21052631578947,True
2,2,80.0,True
0,0,68.29268292682927,True
1,1,55.00000000000001,True
7,7,51.92307692307693,True
9,9,48.78048780487805,True
6,7,34.61538461538461,False
7,7,55.319148936170215,True
7,7,66.66666666666666,True
1,1,82.85714285714286,True
3,3,57.14285714285714,True
7,7,41.30434782608695,True
6,6,70.45454545454545,True
6,4,37.03703703703704,False
2,2,41.02564102564102,True
4,4,68.29268292682927,True
8,8,66.66666666666666,True
0,3,33.33333333333333,False
6,6,71.9298245614035,True
0,0,59.64912280701754,True
5,5,74.35897435897436,True
6,6,87.5,True
8,3,64.51612903225806,False
1,1,62.857142857142854,True
8,5,41.37931034482759,False
9,9,66.66666666666666,True
1,0,33.33333333333333,False
8,8,68.96551724137932,True
9,9,63.829787234042556,True
6,6,86.0,True
5,9,46.2962962962963,False
6,6,48.78048780487805,True
0,0,44.44444444444444,True
8,3,58.97435897435898,False
6,7,43.75,False
4,4,45.94594594594595,True
9,9,47.5,True
3,8,23.91304347826087,False
0,0,45.0,True
4,4,44.73684210526316,True
0,0,60.0,True
7,7,63.934426229508205,True
3,3,46.34146341463415,True
4,4,89.1891891891892,True
2,3,21.428571428571427,False
5,5,45.614035087719294,True
6,6,73.46938775510205,True
7,7,64.28571428571429,True
0,0,29.268292682926827,True
1,1,70.58823529411765,True
4,3,22.22222222222222,False
7,7,56.25,True
7,7,56.09756097560976,True
9,1,30.23255813953488,False
4,4,79.54545454545455,True
2,2,46.15384615384615,True
3,3,34.21052631578947,True
1,1,96.66666666666667,True
1,1,65.21739130434783,True
5,5,76.59574468085107,True
3,3,43.75,True
9,9,76.59574468085107,True
8,8,48.837209302325576,True
9,1,56.75675675675676,False
6,6,69.81132075471697,True
5,5,56.41025641025641,True
8,8,71.7948717948718,True
6,6,63.41463414634146,True
2,7,24.528301886792452,False
8,3,38.095238095238095,False
9,9,46.93877551020408,True
0,0,89.79591836734694,True
0,0,72.72727272727273,True
2,2,55.00000000000001,True
5,5,50.0,True
4,3,30.952380952380953,False
0,0,35.8974358974359,True
1,9,45.83333333333333,False
9,1,38.88888888888889,False
1,3,47.05882352941176,False
6,6,67.3913043478261,True
2,2,41.66666666666667,True
9,9,72.3404255319149,True
3,3,30.555555555555557,True
4,4,52.0,True
1,1,80.0,True
6,6,54.347826086956516,True
4,4,73.52941176470588,True
4,4,48.888888888888886,True
6,6,52.0,True
7,7,36.734693877551024,True
7,3,45.0,False
4,4,71.05263157894737,True
9,9,53.48837209302325,True
5,5,62.857142857142854,True
0,0,52.38095238095239,True
7,7,69.04761904761905,True
9,7,37.5,False
2,2,48.717948717948715,True
8,8,78.78787878787878,True
5,5,81.3953488372093,True
5,1,37.142857142857146,False
6,6,80.0,True
6,3,67.5,False
7,7,44.0,True
8,8,60.0,True
9,9,60.0,True
4,4,29.72972972972973,True
7,7,49.152542372881356,True
6,6,71.42857142857143,True
7,7,47.72727272727273,True
0,0,72.41379310344827,True
8,8,72.97297297297297,True
9,7,42.857142857142854,False
2,2,39.473684210526315,True
5,7,22.641509433962266,False
8,8,82.05128205128204,True
6,6,88.88888888888889,True
2,2,65.625,True
5,5,73.17073170731707,True
1,1,40.54054054054054,True
2,2,57.14285714285714,True
4,4,97.22222222222221,True
4,4,48.57142857142857,True
9,9,62.7906976744186,True
4,4,35.41666666666667,True
3,3,50.0,True
6,6,75.47169811320755,True
2,2,62.857142857142854,True
1,1,70.27027027027027,True
8,8,63.41463414634146,True
7,7,64.44444444444444,True
4,4,72.22222222222221,True
6,6,94.11764705882352,True
5,5,65.38461538461539,True
8,8,52.63157894736842,True
3,3,39.39393939393939,True
3,3,44.44444444444444,True
8,3,27.027027027027028,False
7,5,31.11111111111111,False
8,8,81.57894736842105,True
2,2,51.42857142857142,True
4,4,33.33333333333333,True
1,1,41.46341463414634,True
8,8,86.48648648648648,True
6,0,42.30769230769231,False
9,9,67.3913043478261,True
8,8,44.44444444444444,True
0,0,51.35135135135135,True
6,6,85.41666666666666,True
8,8,50.0,True
0,0,55.172413793103445,True
7,7,30.434782608695656,True
7,7,42.5,True
6,6,88.23529411764706,True
7,7,45.65217391304348,True
6,6,68.88888888888889,True
8,8,68.08510638297872,True
0,0,43.75,True
0,0,66.66666666666666,True
8,8,72.97297297297297,True
7,7,77.55102040816327,True
7,7,47.82608695652174,True
5,5,65.9090909090909,True
4,3,47.91666666666667,False
2,2,68.96551724137932,True
6,8,48.93617021276596,False
8,8,65.0,True
3,3,34.146341463414636,True
3,3,40.0,True
1,1,85.71428571428571,True
3,3,51.61290322580645,True
8,8,82.05128205128204,True
9,9,65.0,True
0,0,34.78260869565217,True
9,9,52.94117647058824,True
1,1,40.0,True
2,2,63.888888888888886,True
6,6,75.0,True
5,5,46.15384615384615,True
4,4,61.76470588235294,True
7,7,58.139534883720934,True
9,9,52.0,True
6,6,82.6086956521739,True
5,7,27.77777777777778,False
3,3,34.090909090909086,True
1,1,55.00000000000001,True
1,1,34.69387755102041,True
5,5,72.72727272727273,True
6,6,60.0,True
9,9,97.87234042553192,True
5,5,27.027027027027028,True
8,8,52.77777777777778,True
8,2,43.47826086956522,False
0,0,54.166666666666664,True
6,6,61.224489795918366,True
6,6,87.75510204081633,True
5,5,53.57142857142857,True
5,5,84.61538461538461,True
6,6,96.55172413793103,True
2,2,66.66666666666666,True
6,6,62.0,True
6,6,90.9090909090909,True
7,7,49.2063492063492,True
4,4,45.45454545454545,True
8,8,74.35897435897436,True
9,9,68.57142857142857,True
0,0,50.0,True
9,9,37.2093023255814,True
5,5,62.857142857142854,True
8,2,45.714285714285715,False
2,2,46.666666666666664,True
4,4,36.0,True
0,0,31.11111111111111,True
2,2,66.66666666666666,True
7,7,27.500000000000004,True
6,6,85.36585365853658,True
4,4,55.55555555555556,True
6,5,46.0,False
8,8,83.33333333333334,True
4,4,52.63157894736842,True
7,7,57.692307692307686,True
3,3,62.22222222222222,True
4,4,55.00000000000001,True
6,6,73.91304347826086,True
1,1,54.054054054054056,True
9,9,37.5,True
0,0,73.33333333333333,True
8,8,62.7906976744186,True
4,0,37.254901960784316,False
1,1,82.35294117647058,True
5,9,39.473684210526315,False
6,6,76.47058823529412,True
9,9,66.66666666666666,True
1,1,36.84210526315789,True
8,8,45.0,True
2,2,69.44444444444444,True
0,0,52.17391304347826,True
6,6,86.27450980392157,True
1,1,86.11111111111111,True
