N,lr,sr,set_n,KL,entropy
400,0.85,0.8,1,0.009922221729786563,4.5894619203917015
400,0.85,0.8,1,0.023961725126806672,4.662051232009107
400,0.85,0.8,1,0.5168409398795252,4.868256537597997
400,0.85,0.8,1,2.3394560203134556,4.997290305575146
400,0.85,0.8,1,0.22895874691757784,4.662865258379832
400,0.85,0.8,1,2.7646540940984217,5.049552413628728
400,0.85,0.8,1,0.09943074736252172,4.6239937381806175
400,0.85,0.8,1,0.03518934104359908,4.474442714372373
400,0.85,0.8,1,0.06301222120562261,4.558863160174235
400,0.85,0.8,1,0.4002195675629867,4.730215611282382
400,0.85,0.8,1,0.0235041648874296,4.611436203457025
400,0.85,0.8,1,0.002973035623833547,4.453498803257346
400,0.85,0.8,1,0.2156158182986357,4.7275650790363875
400,0.85,0.8,1,0.37629712663482784,4.757740841802438
400,0.85,0.8,1,1.1710058430929584,4.835262208992169
400,0.85,0.8,1,0.3283904394583612,4.669150932199971
400,0.85,0.8,1,0.18548295462639025,4.691175444556029
400,0.85,0.8,1,0.05480918024077818,4.428013342083251
400,0.85,0.8,1,0.2753505151177015,4.703285612989218
400,0.85,0.8,1,2.6009650417539834,5.022296934899576
400,0.85,0.8,1,0.07103233751767812,4.479400868992931
400,0.85,0.8,1,0.28842224411494927,4.765074004584961
400,0.85,0.8,1,0.4869303953334311,4.744155770963889
400,0.85,0.8,1,2.194907231022227,4.953687508865236
400,0.85,0.8,1,0.30767558860433825,4.595313745440594
400,0.85,0.8,1,0.4711944470643885,4.817059703812552
400,0.85,0.8,1,1.057042518580249,4.821434129635167
400,0.85,0.8,1,0.012742794898960946,4.511537742354504
400,0.85,0.8,1,0.2414672831985295,4.494605692848646
400,0.85,0.8,1,0.20682147868296522,4.6438630100311515
400,0.85,0.8,1,0.30802169020088743,4.7110530901135315
400,0.85,0.8,1,0.11971526948010965,4.565572295885429
400,0.85,0.8,1,0.0721358512805228,4.496991276027595
400,0.85,0.8,1,0.6516843376019501,4.748046220766914
400,0.85,0.8,1,0.1347153593960721,4.661328519356047
400,0.85,0.8,1,0.4428970395478075,4.674827673700092
400,0.85,0.8,1,1.0990968269919366,4.825360530710814
400,0.85,0.8,1,0.20284118419392833,4.715848752141126
400,0.85,0.8,1,0.04632743921861634,4.632741884948874
400,0.85,0.8,1,0.4427929022544218,4.7252394652215095
400,0.85,0.8,1,0.09465564264178565,4.5809641134971315
400,0.85,0.8,1,0.07799464035007628,4.561748431968342
400,0.85,0.8,1,0.31846171094831466,4.722202503375746
400,0.85,0.8,1,2.01913302210395,5.022424058800835
400,0.85,0.8,1,1.0493389757023837,4.858665542882482
400,0.85,0.8,1,0.0028087034753348367,4.509293016481488
400,0.85,0.8,1,0.4676751040537667,4.758084872883995
400,0.85,0.8,1,0.0019443745840350118,4.556733617168048
400,0.85,0.8,1,0.15970739695998504,4.617896323633629
400,0.85,0.8,1,0.10126467449777574,4.540486758261366
400,0.85,0.8,1,0.5663436253853145,4.796882146291823
400,0.85,0.8,1,0.4098455080498746,4.6993960506395345
400,0.85,0.8,1,0.7546392074924776,4.838168931779199
400,0.85,0.8,1,0.7182546865583433,4.824322510846221
