N,lr,sr,set_n,KL,entropy
400,0.85,0.8,1,0.009922221729786563,4.5894619203917015
400,0.85,0.8,1,0.023961725126806672,4.662051232009107
400,0.85,0.8,1,0.5168409398795252,4.868256537597997
400,0.85,0.8,1,2.3394560203134556,4.997290305575146
400,0.85,0.8,1,0.22895874691757784,4.662865258379832
400,0.85,0.8,1,2.7646540940984217,5.049552413628728
400,0.85,0.8,1,0.09943074736252172,4.6239937381806175
400,0.85,0.8,1,0.03518934104359908,4.474442714372373
400,0.85,0.8,1,0.06301222120562261,4.558863160174235
400,0.85,0.8,1,0.4002195675629867,4.730215611282382
400,0.85,0.9,2,0.18679554202837395,4.582110858562519
400,0.85,0.9,2,0.18458600411739107,4.65412185217696
400,0.85,0.9,2,1.5976196229196749,4.98068463304876
400,0.85,0.9,2,1.0724948482716399,4.890162970377652
400,0.85,0.9,2,0.8658480773509643,4.843960499052876
400,0.85,0.9,2,0.5471534820069598,4.722965715089857
400,0.85,0.9,2,0.9974508391727179,4.842745741027935
400,0.85,0.9,2,0.005966221755017601,4.51442065687357
400,0.85,0.9,2,0.43363299086868534,4.785882895420677
400,0.85,0.9,2,0.49414454866473384,4.780027389615819
400,0.85,1.0,3,0.8669668324109503,4.842549294653327
400,0.85,1.0,3,0.4959859500845636,4.811451930444747
400,0.85,1.0,3,1.7869538980773148,4.998042002715993
400,0.85,1.0,3,0.8347252739983713,4.8744871205831615
400,0.85,1.0,3,0.22512566108374096,4.623892224223645
400,0.85,1.0,3,0.5095323862664491,4.791912643326309
400,0.85,1.0,3,2.427034734406379,5.020758526170121
400,0.85,1.0,3,0.34832805673018274,4.661392520594152
400,0.85,1.0,3,0.572494852680593,4.782375752961883
400,0.85,1.0,3,0.667181881317973,4.769962213398962
400,0.85,1.1,4,0.4211824760885523,4.787099872464135
400,0.85,1.1,4,0.25790735386569,4.767048219945692
400,0.85,1.1,4,0.2581811841645104,4.766596302338175
400,0.85,1.1,4,1.458173834892016,4.927024732516815
400,0.85,1.1,4,0.41254036386747694,4.744202318177989
400,0.85,1.1,4,0.4904886499214165,4.744139203039646
400,0.85,1.1,4,0.5363733057542313,4.787547150364459
400,0.85,1.1,4,0.6309774937088617,4.858757437585442
400,0.85,1.1,4,0.3873953330205263,4.713539530396286
400,0.85,1.1,4,0.30793401877447113,4.7308873458456056
400,0.85,1.2,5,1.437042171164562,4.940477363503886
400,0.85,1.2,5,1.3485044585584545,4.884398042643623
400,0.85,1.2,5,1.6937713621704673,4.99099049822563
400,0.85,1.2,5,1.7465588185226506,4.934319260169568
400,0.85,1.2,5,0.55673403988342,4.7921637303221045
400,0.85,1.2,5,0.2797481688475686,4.725159258631841
400,0.85,1.2,5,2.601903106306324,5.133689869743987
400,0.85,1.2,5,0.20830022547240923,4.715148890091952
400,0.85,1.2,5,0.5673110964565286,4.794761072299087
400,0.85,1.2,5,0.6052075138650823,4.869337172107356
400,0.88,0.8,6,0.5978671849318065,4.805416993199471
400,0.88,0.8,6,0.7888515163033331,4.760254954815931
400,0.88,0.8,6,0.7634102377324781,4.882716360062297
400,0.88,0.8,6,0.633052509825488,4.8139050966015695
